rpid,点赞数量,用户,性别,等级,评论内容,发布时间
140649445280,2,核动力鼠鼠,男,5, “普通”是你加的形容词，“顺便”也是你加的副词，何况怎能因为讲“傅里叶变换”就不能提到“美军迫害民众”呢？所谓“意识形态输出”究竟是什么？,20天前发布
143239736944,0,KingoftheJews,保密,3,你说的对，所以你每天不知疲倦的致力于反美事业的同时你碟给了你什么好处呢,3天前发布
139076432160,3,_Rustacean,保密,6,这个思想现在用在了很多算法中,31天前发布
139077780624,18,奥里马的马里奥,保密,4,传说中的用空间换取时间[呲牙],31天前发布
139276662192,6,十七海兽祭祀剑,男,5,感觉有点像动态规划[思考],30天前发布
139411757024,3,这个昵称可能很长,保密,5,剪枝（,29天前发布
139494831984,3,xw滚去学习,男,5,记忆化,28天前发布
140113054864,0,鱼和熊掌可兼得焉,男,6,dp还有状态方程呢，这算什么dp啊[藏狐],24天前发布
142521031280,0,Y1610,男,6,分治法和动态规划主要思想都是将大问题分解为若干个子问题。但在分治法中，子问题的求解是互相独立的，而在动态规划中，一个子问题的求解取决于上一个子问题的结果。FFT显然是一个分治法指导下的算法。,8天前发布
143536028752,0,odyyyyyy,保密,6, 也没有用空间换时间，使用蝶形运算占用的内存还是N位,1天前发布
139088137760,4,若羽聆风,男,6,这个在2000年Duffie那篇文章就提出来了，很早就被用到金融领域了,31天前发布
139107952896,5,Qooll-,保密,6,严格意义上最早是carr和madan在1999年提出来的只能算vanilla的老东西，后面二十多年也已经迭代出Lewis等好几个经典版本了，各大券商也有早就有了自己的算法和特征方程库，但第一次在定价里面用到fft还是很有划时代意义的,31天前发布
139149849792,5,Matsuka__,男,6,我们还是学过的，一部分计算中通过转换到频域来降低复杂度,30天前发布
139166561712,3,豹猫络合鹿,男,6,好家伙， 作为一个搞理论的harmonic analysiser， 表示真没想到这东西这么有用[藏狐],30天前发布
139252923440,0,若羽聆风,男,6,啊对 99年的卡马墩 太经典了hhh,30天前发布
140020133888,0,深空寺,保密,6,这不还是理科,25天前发布
140046292512,1,rexhu16,保密,5,You mean &#34;analyst&#34;?,25天前发布
140097506928,0,喧闹z,男,5,蚌,24天前发布
140279815616,0,BlossomRain,男,4,所有n^2简化到nlogn的算法都是基于fft思路的,23天前发布
142966308448,0,大鱼鲵鲳,男,6,毕竟都是数据分析，很多领域里算法都是互相借鉴,5天前发布
139103867440,11,十点半的飞机快要到了,保密,5,通信工程学过，毕业5年了，我甚至完全看不懂你在讲啥。[微笑],31天前发布
139103884256,0,hdi河笛,男,6,[笑哭],31天前发布
139104746000,14,十点半的飞机快要到了,保密,5,我能说完全是大学老师水平差吗。。。讲踏马一堆东西又不说有什么应用，拿起书就照着念，还不如现在互联网的科普专业。2013年那会儿有没有b站我忘了。2017年都4G快5G了我们只讲2G，人均转码，彻底与通信断连了[大哭],31天前发布
139108271072,0,hdi河笛,男,6,太惨了[笑哭],31天前发布
139125672112,0,hdi河笛,男,6,啊对了 从e.n函数簇到我们熟悉的由三角函数的级数表示的傅立叶级数之间的关系可以用欧拉公式来推出 并不算难 有兴趣的话可以找一本参考书籍 我自己比较推荐《陶哲轩实分析》,31天前发布
139208209504,1,只因巭孬,保密,5,你在说啥子[大哭],30天前发布
139224004704,0,西木野财阀总监,男,6,我超，矩阵分析刚学了这块，你属于是在给我复习了,30天前发布
139223982256,2,声色者探_,男,5,妈的，就看懂一点点点,30天前发布
139262317680,2,朿刂木鬼,保密,5,看了两遍，勉强看懂了，用欧拉公式转换成三角函数，就是三角函数的正交性，然后推广至任意周期和任意函数,30天前发布
139273723312,0,hdi河笛,男,6,终于有一个懂的了,30天前发布
138972592928,6,该起啥名字好呢该起,男,5,蝶形图N/4级分解给我看沉默了[笑哭],32天前发布
139837716496,5,lxjfxh,保密,4,N*logN吧，N^logN一百都要崩,26天前发布
139861109248,2,点赞可好,男,6,还真是，确实打错了,26天前发布
140657034176,0,beneath_,保密,5,数字信号处理学过，不过考完就忘了[微笑],20天前发布
139018111136,51,weslieL,男,5,对于小数据量的情况下，FFT对运算的帮助很小，所以高斯没发表,31天前发布
139096879696,42,欧阳梓豪,男,5,高斯那会儿估计也没现在这样大的数据量需要算，所以可能他觉得也并没有对现状有很多的优化，他就转向别的思路了,31天前发布
141269429200,0,努巴尼真难吃-,保密,6,抖机灵扎西德勒,16天前发布
138951127584,27,幽境的荼蘼,保密,6,想到了Bernoulli把比值极限的求导法则的著作权卖给L&#39;hospital这件事[doge],32天前发布
138958789584,36,錆儀,保密,6,没事，Bernoulli那么多，就算叫Bernoulli法则也不知道是哪个Bernoulli,32天前发布
138965095024,1,clearskia,男,6,反正各种伯努利都是亲戚,32天前发布
138995486944,0,不可能被看见的昵称,保密,4,这笔买卖真的划算阿，纯纯的双赢,31天前发布
139000975696,8,幽境的荼蘼,保密,6,洛必达是把赢得生前身后名看的很重的，而伯努利一大家子成果多到白菜价，于是，交易,31天前发布
141573776992,15,大李子PlumLee,保密,5,前摇连1/3都不到，有些人还急我只能说挺乐的,14天前发布
143109559424,3,糠米不食,保密,4,哈哈，建政都算不上，是只会背标签的小鬼,4天前发布
139188320928,3,二维傅里叶变换,保密,4,俊爷说这是伪科学,30天前发布
139144444672,3,ouuuyuuu,保密,6,欧拉是古典数学方法的集大成者，总结了一个时代，而高斯开创了一个新时代,30天前发布
139927628016,9,反脆弱求道,保密,2,B站还可以这么玩？,26天前发布
139953463488,0,可乐打咩,保密,5, 额,25天前发布
140334002368,5,圆润de甜瓜,保密,6,不就是硬币吗，给你,23天前发布
141329312336,1,发光的角闪石,保密,5,膜拜大佬[给心心],16天前发布
141366512544,2,梅花鹿之憨憨,男,5,学术论坛是吧,15天前发布
141732973696,2,蓝色多捞河,男,5,学信号的表示学傅里叶变换的过程：1 周期信号傅里叶级数2 连续时间信号的傅里叶变换（CTFT）3 离散时间信号的傅里叶变换（DTFT）4 离散序列傅里叶变换（DFT）5 快速傅里叶变换（FFT，解决长序列的DFT）由于计算机只能处理信号采样后的序列，后面很多就直接用DFT或FFT,13天前发布
138953380688,75,Despicability,男,6,我是觉得如果fft更早出现的话，模拟计算机可能就不会在计算机早期得到发展了,32天前发布
138958360976,323,錆儀,保密,6,那个时代的数学家对暴力运算很感兴趣的，高斯尤其暴力。你说的应该是计算机那种庞大的计算量对人来说不可能，但所谓“枯燥乏味的重复计算”在当时并不会让数学家们觉得无趣或无意义。,32天前发布
138981413808,5,折筱FBh-CBFBh,保密,5,机械计算机觉得很淦（）,32天前发布
138981553824,10,折筱FBh-CBFBh,保密,5,当时虽然没有电子但是有机械计算器啊,32天前发布
138988419760,86,天禄琳狼,保密,6,是这样的，Dijkstra算法刚发布的时候无人问津就是因为当时的数学家对复杂度毫不关心，自然看不到这些算法背后的价值,32天前发布
138995628768,5,我是糖醋薄荷味,保密,4,6就算了，还有一堆6哥点赞[疑惑],31天前发布
139048708960,119,高斯,男,6, 枯燥的计算也许是有意义的，但很可能是无趣的，占用数学家宝贵的精力和体力的，所以数学家才会不断探索和看重更好的算法。高斯算天体轨道的时候发明了一种比欧拉更快的算法，后来他听说欧拉用老算法算瞎了一只眼睛的时候，对朋友说：如果我用欧拉的算法，那我两只眼睛都要算瞎掉。,31天前发布
139048818048,7,我爱bili娘,保密,5,暴力是有用的。那时候一些大porject直接升官发财，重要地方请人计算就行了。甚至NASA早起很多项目都是请一大批人手算的,31天前发布
139051904368,11,只爱学习的兔子,保密,5,要是学过数学物理方法的话，你就会知道暴力运算在那个时代是很多的,31天前发布
139096339120,9,兰塔Rantiasc,保密,6,我超，高斯来了[哦呼],31天前发布
138948089280,157,美妙我的拉面呢,男,6,疯狂地加指数衰减（拉普拉斯变换）,32天前发布
138961539136,360,嘉园の恶霸,保密,5,拉普拉斯变化：无所谓，我会出手,32天前发布
138997778448,33,伊乃空,男,5,太难了，最近才知道还有，加了指数衰减还是发散，的存在,31天前发布
138998409648,41,La_Mizera_Mondo,保密,6, 有，但是对于绝大多数现实中存在的信号，拉普拉斯变换的衰减已经足够了。,31天前发布
139009357072,0,星海冰糖,男,6,对呀(´；ω；`),31天前发布
139027032960,3,完美并不媄,男,5,发散的现实物理意义是什么？什么样的信号会发散？,31天前发布
139035157856,5,Constantendeavor,男,6,斜坡函数就是发散的，是阶跃信号的积分,31天前发布
139064011936,6,五年目的放课后,男,6,正实轴单位圆内是吧[doge],31天前发布
139067420640,5,美妙我的拉面呢,男,6,好多，实函数讲对幂指阶幂指，指数才排中游……不过一般的典型信号加了指数衰减之后就收敛了，加上指数函数完美的求导不变性，就成了最常用的衰减方式了,31天前发布
139088891968,26,禊袚ちょう,男,5,t域不行换s域z域w域，总有一款适合你😉,31天前发布
139031671504,165,巨引源,男,6,还是有开窍那一瞬间的，当我第一次在3B1B那里看到三维的谐波分布图像和卷绕计算过程展示时，我就想把角落里的信号书吃了。,31天前发布
139055650768,7,料青山应如也,男,5,系统学过信号系统自动控制感觉很简单,31天前发布
139058690048,19,生产队的绿鲤鱼,男,5,BV1za411F76U 这个视频讲的非常优美,31天前发布
139132392176,14,茂的貘,保密,4,这个需要使用才能有直观感受。在学习工作中的频繁使用能有效理解,31天前发布
139138565328,0,略中二的骚年,男,5,自己尝试写一次就懂了,31天前发布
139271733712,0,忽如客行远,男,6,写完后的一周内确实是懂的[doge],30天前发布
141767752240,0,雪豹没有芝士,男,5,靠，一模一样，上个月刚考完数字信号处理现在都忘的差不多了,13天前发布
139428465584,91,红色节拍器,保密,6,现在数理学界的学派头头们，都有自己密不外传的分析方法，普通学者想要了解很难的,29天前发布
140018462672,79,审判长死神,保密,6,现在研究一个理论，需要非常广的专业知识，也就是说需要许多不同领域的学者合作进行，研究越深需要知识就越广，合作的人就越多，沟通就越麻烦，效率就越低。,25天前发布
140118290384,113,Ibuprofen丶Capsul,男,6,想起一个说法不知道是不是真的，铝的冶炼方法在公元4世纪的时候就有工匠发现过，但是当工匠献给他们的国王的时候国王却因为那个工匠的傲慢杀了他，直到电解铝被发现，人类才真正有能力大规模的使用铝，而这中间隔了有一千多年，很难想象当时要是就能大规模冶炼铝的话会对人类历史有什么影响了,24天前发布
140140624688,5,怂的ya匹,保密,5,但是人类可以通过外部工具来拓宽这个极限的范围，就比如互联网大数据，有了它需要任何领域的知识只要进入信息库搜寻就能得到结果，至少视频里高斯这样发现被埋没的事情就可以大大减少了,24天前发布
140172995472,51,WhiteGiver_Plus,保密,3,估计不是真的，铝的化学性质就决定了其冶炼必然十分困难，那个工匠的方法必然需要很高的成本，而本来困扰人类的就是炼铝的成本而不是技术本身,24天前发布
140414067360,34,クロリュウ深空,男,6,那必然是假的，之所以要电解就是因为常规化学还原做不到，电解可是典型的高耗能产业，你要能用廉价的方法化学还原出铝你能去斯德哥尔摩领个奖。而且铝的融化温度妥妥要堆预热式高炉。公元四世纪，除非是穿越否则想想就好。,22天前发布
140440323232,13,bkpen,保密,5,技术积累必须足够密集才能推动工业革命，这个在很大程度上是要有一定的运气成分。我国应用天然气的历史可能有上千年，但因为并没有同时产生蒸汽机和相关应用，且科学体系尚不具有成熟的产生条件，因此并未成功推动产生工业革命。可见单靠一项天才的科技发明是无法推动人类历史大幅改变的。,22天前发布
140574622736,9,dovahk11n,男,6,这句话是没错的。以往你只需要初高中水平就能达到人类科技的最前沿，而现在三十多岁也才能够在某一个领域达到精通。人类达到知识前沿所需要的学习时间增长得非常夸张，搞不好以后五十岁才能是刚刚学成的程度。,21天前发布
140621195392,2,peps11,保密,3,呃你这个有点想当然,21天前发布
140623222432,4,愁未歇,男,5,老师不是做慈善的苦行僧或是家里有矿，把方法配比专利散播天下，推动一点点车轮，落得喝西北风的下场。看对眼了，交过学费，才可能言传身教。,21天前发布
138986110096,1,该昵称已经存在或者,保密,4,感觉我学机械的用不上,32天前发布
138990474560,9,OscarOh,保密,5,机械嗓声振劲,32天前发布
138991968288,12,我是我是什么年,保密,4,你学的啥啊，control，signal，声波全是fft,31天前发布
139009956496,1,Starrella,保密,4,自动化不用吗,31天前发布
139026913744,0,Justiing,保密,4,用得上，有些机械的老师也做信号处理相关方向,31天前发布
139028674496,2,阳光多美丽,男,5,计算光学里面也是大把的fft,31天前发布
139036094560,10,枨锿,保密,5,光学，通信，量子，在任何地方,31天前发布
139038109296,2,鬼了个畜,保密,5,控制里的线性表达,31天前发布
139048710416,1,得你个当,保密,5,微积分的发展,31天前发布
139087638992,0,在吃肉松的阿琦,男,5,结构动力学是吧[doge],31天前发布
139427913440,64,红色节拍器,保密,6,号养好了,29天前发布
139549178240,59,87303451250_bili,保密,5,号通灵了,28天前发布
139568242000,4,蓝灵是能鸽善鹉的鸭,女,4,坏了，我也是,28天前发布
139631669632,1,dtf_pdd,保密,5,完了，我也是了,27天前发布
140969299552,1,基长MC,保密,5,需要毫米波雷达的私我,18天前发布
141142642784,0,彭宝的小辅助,女,6,好了，我不是,17天前发布
141213731312,2,-天启-,保密,6,小灵通[OK],16天前发布
142335554624,1,montaroSS,男,6,我也是，我刚问了chatgpt这个问题就在b站刷到了,9天前发布
138942923952,29,Eye_In_Steins,男,6,高斯 永远滴神（,32天前发布
138947954240,28,nothing_street,保密,5,信号处理人都给我学麻了,32天前发布
138949076320,177,笑看你扯淡,保密,6,虽然但是，为了区分两人，傅立叶是搞哲学的，傅里叶是搞数学的[doge],32天前发布
138952967840,4,wxx9248,男,6,这我还真不知道,32天前发布
138961553792,20,红雨_RedRain,男,5,艹我还以为只是翻译习惯问题，这是两个人吗,32天前发布
138963569968,63,焚金谷杂役,保密,5,夏尔傅立叶1772~1837空想社会主义者约瑟夫傅里叶1768~1830数学家,32天前发布
138965731776,15,笑看你扯淡,保密,6,同姓吧应该说，但是还是会为了区分俩人，一个叫傅立叶，一个叫傅里叶,32天前发布
138965891552,5,笑看你扯淡,保密,6,对的，正常来说人应该会先认识傅立叶，因为中学政治上就有提到傅立叶了[doge],32天前发布
138984626576,18,吾之所系,保密,5,我是恰恰相反，小学时翻我爸的教科书知道了傅里叶和傅里叶变换，当时的我怎么也想不到，这个名字会成为我十几年后考研时的噩梦[囧],32天前发布
138985873120,1,wxx9248,男,6,那我是先知道傅里叶的hhh你这么一说我才想起来政治课本上好像出现过，当时还觉得挺有意思的，还查了他俩名字，但是因为不太喜欢文科就没留下多深印象输入法第一个是傅立叶，以为没啥区别,32天前发布
138942413392,9,可爱的小奈绪,保密,5,集合（然后河南考生直接退役）,32天前发布
138942627312,7,魔猪佩奇乃吾,保密,4,集合然后CQ NOIP没了,32天前发布
138944688480,8,rabbitohh,男,5,集合然后SD现在可能也有危险了,32天前发布
138944814064,25,nodgd,保密,5,集合，但我是oi教练,32天前发布
138945144816,4,王老程,男,5,集合然后初赛发烧没参加[呲牙],32天前发布
138946754368,2,Mryia,保密,5,集合 +1,32天前发布
138948267520,2,RainbowCrown,保密,5,集合，但是退役选手[吃瓜],32天前发布
138949771648,1,fcba15,保密,6,集合，但我都读研早退役了w,32天前发布
138951353744,2,B-1168,男,5,集合，但是多年前的noip普及二等菜鸡（,32天前发布
138955479616,3,atzlt,保密,5,{O， I， E， R},32天前发布
139136528176,101,正午的阳光让我emo,保密,5,必然性寓于偶然性之中，并通过偶然性表达出来[OK]  天才就是“偶然”，原理的发现是“必然”。,31天前发布
